Read Name	Start Position	Length
FTUN4688.b1	1	909
FTUN6868.b1	32	881
FTUN2947.b1	326	825
FTUN6895.g1	494	885
FTUN888.b1	494	885
FTUN9372.b1	608	857
FTUN5617.b1	898	871
FTUN5357.b1	898	888
FTUN10843.b1	912	855
FTUN502.g1	930	858
FTUN3398.b1	1046	860
FTUN10721.g1	1143	907
FTUN2111.g1	1280	850
FTUN9307.g1	1308	869
FTUN894.g1	1371	828
FTUN4894.b1	1631	873
FTUN11643.g1	1663	857
FTUN5827.g1	2051	897
FTUN8609.g1	2065	915
FTUN4043.g1	2180	878
FTUN4101.b1	2220	806
FTUN6925.b1	2529	908
FTUN8206.b1	2736	889
FTUN2899.g1	2894	908
