Read Name	Start Position	Length
FTUN12812.g1	1	903
FTUN8427.b1	259	851
FTUN9126.g1	274	836
FTUN9838.b1	935	904
FTUN841.b1	1192	889
FTUN5100.b1	1288	917
FTUN6924.b1	1398	789
FTUN3454.g1	1521	887
FTUN741.b1	2003	875
FTUN12170.b1	2059	819
FTUN4421.b1	2243	843
FTUN11001.b1	2975	894
FTUN3396.g1	3034	839
FTUN936.b1	3372	895
FTUN11348.b1	3793	839
FTUN9852.b1	4074	898
FTUN10467.b1	4179	886
FTUN8988.b1	4270	906
FTUN2752.b1	4377	881
FTUN3790.b1	4490	854
FTUN11669.b1	4611	877
FTUN11348.g1	4709	869
FTUN612.b1	4875	884
FTUN11418.b1	5049	879
FTUN11644.g1	5122	848
FTUN11715.b1	5157	840
FTUN5883.b1	5206	939
FTUN12268.g1	5283	818
FTUN3165.b1	5655	877
FTUN6015.b1	5664	921
FTUN3028.g1	5863	891
FTUN9050.g1	5902	870
FTUN9471.b1	6084	745
FTUN10918.b1	6238	865
FTUN5480.g1	6343	866
FTUN5692.g1	6514	822
FTUN4813.g1	6900	882
FTUN3339.b1	7174	908
FTUN9838.g1	7458	842
FTUN9803.b1	7462	895
FTUN8427.g1	7631	859
FTUN10616.g1	7658	827
FTUN841.g1	7675	929
FTUN6924.g1	7773	870
FTUN5100.g1	8041	879
FTUN12812.b1	8210	939
FTUN10771.b1	8846	895
FTUN6304.b1	8900	905
